,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
10,Claudio Silva,Cole Williams,32,2,1,0,1,0,Welterweight,SUB  Neck Crank,3,2:35,1
11,Miranda Granger,Hannah Goldy,61,55,0,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
0,Max Holloway,Frankie Edgar,129,96,0,1,0,0,Featherweight,U-DEC,1,5:00,5
1,Cris Cyborg,Felicia Spencer,122,38,0,0,0,0,Women's Featherweight,U-DEC,1,5:00,3
2,Geoff Neal,Niko Price,41,24,2,0,0,0,Welterweight,KO/TKO  Punches,2,2:39,2
3,Arman Tsarukyan,Olivier Aubin-Mercier,47,23,2,0,0,0,Lightweight,U-DEC,1,5:00,3
4,Krzysztof Jotko,Marc-Andre Barriault,40,39,1,1,0,0,Middleweight,S-DEC,1,5:00,3
5,Viviane Araujo,Alexis Davis,67,68,2,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
6,Hakeem Dawodu,Yoshinori Horie,80,39,0,0,0,0,Featherweight,KO/TKO  Kick,2,4:09,3
7,Gavin Tucker,SeungWoo Choi,37,23,5,2,2,0,Featherweight,SUB  Rear Naked Choke,3,3:17,3
8,Deiveson Figueiredo,Alexandre Pantoja,67,61,2,2,0,0,Flyweight,U-DEC,1,5:00,3
9,Gillian Robertson,Sarah Frota,29,9,2,0,0,0,Women's Flyweight,KO/TKO  Elbows,2,4:13,2
10,Erik Koch,Kyle Stewart,37,23,4,0,0,0,Welterweight,U-DEC,1,5:00,3
0,Leon Edwards,Rafael Dos Anjos,92,81,3,0,0,0,Welterweight,U-DEC,1,5:00,5
1,Walt Harris,Aleksei Oleinik,4,1,0,0,0,0,Heavyweight,KO/TKO  Punch,2,0:12,1
2,Greg Hardy,Juan Adams,36,3,0,0,0,0,Heavyweight,KO/TKO  Punches,2,0:45,1
3,Dan Hooker,James Vick,22,7,0,0,0,0,Lightweight,KO/TKO  Punch,2,2:33,1
4,Alexander Hernandez,Francisco Trinaldo,25,25,0,0,0,0,Lightweight,U-DEC,1,5:00,3
5,Andrei Arlovski,Ben Rothwell,152,70,0,0,0,0,Heavyweight,U-DEC,1,5:00,3
6,Alex Caceres,Steven Peterson,94,67,0,2,0,0,Featherweight,U-DEC,1,5:00,3
7,Raquel Pennington,Irene Aldana,47,52,1,0,0,0,Women's Bantamweight,S-DEC,1,5:00,3
8,Klidson Abreu,Sam Alvey,36,28,1,0,0,0,Light Heavyweight,U-DEC,1,5:00,3
9,Jennifer Maia,Roxanne Modafferi,83,29,0,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
10,Ray Borg,Gabriel Silva,15,8,6,1,1,0,Bantamweight,U-DEC,1,5:00,3
11,Mario Bautista,Jinsoo Son,129,95,0,2,0,0,Bantamweight,U-DEC,1,5:00,3
12,Felipe Colares,Domingo Pilarte,23,11,2,2,0,1,Bantamweight,S-DEC,1,5:00,3
0,Germaine de Randamie,Aspen Ladd,4,0,0,0,0,0,Women's Bantamweight,KO/TKO  Punch,2,0:16,1
1,Urijah Faber,Ricky Simon,11,4,0,0,0,0,Bantamweight,KO/TKO  Punch,2,0:46,1
2,Josh Emmett,Mirsad Bektic,27,10,0,0,0,0,Featherweight,KO/TKO  Punches,2,4:25,1
3,Karl Roberson,Wellington Turman,50,25,0,4,0,2,Middleweight,S-DEC,1,5:00,3
4,Marvin Vettori,Cezar Ferreira,78,39,2,0,0,0,Middleweight,U-DEC,1,5:00,3
5,Mike Rodriguez,John Allan,70,55,0,4,0,3,Light Heavyweight,Overturned,4,5:00,3
6,Andre Fili,Sheymon Moraes,19,11,0,0,0,0,Featherweight,KO/TKO  Punch,2,3:07,1
7,Julianna Pena,Nicco Montano,45,38,2,3,0,0,Women's Bantamweight,U-DEC,1,5:00,3
8,Ryan Hall,Darren Elkins,36,29,0,0,1,0,Featherweight,U-DEC,1,5:00,3
9,Jonathan Martinez,Liu Pingyuan,32,27,0,0,0,0,Bantamweight,KO/TKO  Knee,2,3:54,3
10,Brianna Van Buren,Livinha Souza,72,23,3,2,0,0,Women's Strawweight,U-DEC,1,5:00,3
11,Benito Lopez,Vince Morales,54,64,0,0,0,0,Bantamweight,U-DEC,1,5:00,3
0,Jon Jones,Thiago Santos,59,43,0,0,0,0,Light Heavyweight,S-DEC,1,5:00,5
1,Amanda Nunes,Holly Holm,17,11,0,0,0,0,Women's Bantamweight,KO/TKO  Kick,2,4:10,1
2,Jorge Masvidal,Ben Askren,3,0,0,0,0,0,Welterweight,KO/TKO  Flying Knee,2,0:05,1
3,Jan Blachowicz,Luke Rockhold,30,14,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,1:39,2
4,Michael Chiesa,Diego Sanchez,47,7,5,1,0,0,Welterweight,U-DEC,1,5:00,3
5,Arnold Allen,Gilbert Melendez,102,23,1,0,0,0,Featherweight,U-DEC,1,5:00,3
6,Marlon Vera,Nohelin Hernandez,10,22,1,1,1,0,Bantamweight,SUB  Rear Naked Choke,3,3:25,2
7,Claudia Gadelha,Randa Markos,40,25,0,0,0,0,Women's Strawweight,U-DEC,1,5:00,3
8,Song Yadong,Alejandro Perez,8,1,0,0,0,0,Bantamweight,KO/TKO  Punch,2,2:04,1
9,Edmen Shahbazyan,Jack Marshman,13,0,1,0,1,0,Middleweight,SUB  Rear Naked Choke,3,1:12,1
10,Chance Rencountre,Ismail Naurdiev,4,21,2,2,0,0,Welterweight,U-DEC,1,5:00,3
11,Julia Avila,Pannie Kianzad,49,33,0,1,0,0,Women's Bantamweight,U-DEC,1,5:00,3
0,Francis Ngannou,Junior Dos Santos,9,4,0,0,0,0,Heavyweight,KO/TKO  Punch,2,1:11,1
1,Joseph Benavidez,Jussier Formiga,50,15,0,1,0,0,Flyweight,KO/TKO  Punches,2,4:47,2
2,Demian Maia,Anthony Rocco Martin,3,22,3,0,0,0,Welterweight,M-DEC,1,5:00,3
3,Vinc Pichel,Roosevelt Roberts,60,31,3,2,1,0,Lightweight,U-DEC,1,5:00,3
4,Drew Dober,Polo Reyes,16,5,0,0,0,0,Lightweight,KO/TKO  Punches,2,1:07,1
5,Alonzo Menifield,Paul Craig,8,7,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,3:19,1
6,Ricardo Ramos,Journey Newson,40,38,3,0,0,1,Bantamweight,U-DEC,1,5:00,3
7,Eryk Anders,Vinicius Moreira,11,2,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,1:18,1
8,Jared Gordon,Dan Moret,48,34,2,2,0,1,Lightweight,U-DEC,1,5:00,3
9,Dalcha Lungiambula,Dequan Townsend,32,13,4,0,0,0,Light Heavyweight,KO/TKO  Punch,2,0:42,3
10,Amanda Ribas,Emily Whitmire,21,7,2,0,2,0,Women's Strawweight,SUB  Rear Naked Choke,3,2:10,2
11,Maurice Greene,Junior Albini,37,19,0,0,0,0,Heavyweight,KO/TKO  Punch,2,3:38,1
0,Chan Sung Jung,Renato Moicano,16,0,0,0,0,0,Featherweight,KO/TKO  Punch,2,0:58,1
1,Randy Brown,Bryan Barberena,89,47,0,0,0,0,Welterweight,KO/TKO  Kick,2,2:54,3
2,Andre Ewell,Anderson Dos Santos,73,35,0,2,0,0,Bantamweight,U-DEC,1,5:00,3
3,Andrea Lee,Montana De La Rosa,73,14,1,5,0,1,Women's Flyweight,U-DEC,1,5:00,3
4,Kevin Holland,Alessio Di Chirico,58,51,0,2,0,0,Middleweight,U-DEC,1,5:00,3
5,Dan Ige,Kevin Aguilar,71,33,1,1,0,0,Featherweight,U-DEC,1,5:00,3
6,Ashley Yoder,Syuri Kondo,75,23,1,0,0,1,Women's Strawweight,U-DEC,1,5:00,3
7,Luis Pena,Matt Wiman,87,24,1,1,1,0,Lightweight,KO/TKO  Punches,2,1:14,3
8,Jairzinho Rozenstruik,Allen Crowder,4,0,0,0,0,0,Heavyweight,KO/TKO  Punches,2,0:09,1
9,Molly McCann,Ariane Lipski,108,68,2,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
10,Deron Winn,Eric Spicely,169,108,0,0,0,0,Middleweight,U-DEC,1,5:00,3
0,Henry Cejudo,Marlon Moraes,90,57,1,0,1,0,Bantamweight,KO/TKO  Punches,2,4:51,3
1,Valentina Shevchenko,Jessica Eye,8,2,2,0,1,0,Women's Flyweight,KO/TKO  Kick,2,0:26,2
2,Tony Ferguson,Donald Cerrone,104,68,0,1,0,0,Lightweight,KO/TKO,2,5:00,2
3,Petr Yan,Jimmie Rivera,56,73,1,0,0,0,Bantamweight,U-DEC,1,5:00,3
4,Blagoy Ivanov,Tai Tuivasa,73,64,2,0,0,0,Heavyweight,U-DEC,1,5:00,3
5,Tatiana Suarez,Nina Ansaroff,75,48,4,0,0,0,Women's Strawweight,U-DEC,1,5:00,3
6,Aljamain Sterling,Pedro Munhoz,174,105,0,0,0,0,Bantamweight,U-DEC,1,5:00,3
7,Alexa Grasso,Karolina Kowalkiewicz,148,90,0,0,1,0,Women's Strawweight,U-DEC,1,5:00,3
8,Calvin Kattar,Ricardo Lamas,22,12,0,0,0,0,Featherweight,KO/TKO  Punch,2,4:06,1
9,Xiaonan Yan,Angela Hill,94,71,1,1,0,1,Women's Strawweight,U-DEC,1,5:00,3
10,Darren Stewart,Bevon Lewis,30,31,0,0,0,0,Middleweight,U-DEC,1,5:00,3
